"Anatomical Strucures, Cell Types and Biomarkers Table for Lung v1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Gloria Pryhuber; Xin Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-9185-3994; 0000-0001-8387-4966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Jeff Whitsett; Ed Morrisey; Martijn Nawijn; Purushotha Tata; Ansley Conchola; Ellen Quardokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"10.1038/s41586-020-2922-4; 10.1038/s41586-020-2922-4; 10.1152/physrev.00001.2018; 10.1038/s41586-018-0394-6; doi:10.1172/jci.insight.90558; 10.1126/sciadv.aba1983; 10.7554/eLife.62522; 10.1164/rccm.201911-2199OC; Gray's Anatomy The Anatomical Basis of Clinical Practice ed.Standring, S. Elsevier. 2021 ISBN:978-0-7020-7705-0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,10.48539/HBM868.DWJZ.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,3/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,AS/8,AS/8/LABEL,AS/8/ID,AS/9,AS/9/LABEL,AS/9/ID,CT/1,CT/1/LABEL,CT/1/ID,CT/1/NOTES,AS-CT PMID,AS-CT DOI,AS-CT Reference,BG/1,BG/1/LABEL,BG/1/ID,BG/2,BG/2/LABEL,BG/2/ID,BG/3,BG/3/LABEL,BG/3/ID,BG/4,BG/4/LABEL,BG/4/ID,BG/5,BG/5/LABEL,BG/5/ID,BP/1,BP/1/LABEL,BP/1/ID,BP/2,BP/2/LABEL,BP/2/ID,FTU,REF/1,REF/1/DOI,REF/2,REF/2/DOI,REF/3,REF/3/DOI
Respiratory System,Respiratory System,UBERON:0001004,Trachea,Trachea,UBERON:0003126,tracheal epithelium,epithelium of trachea,UBERON:0001901,,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,basal,basal cell of epithelium of trachea,CL:1000348,,,,,TP63,tumor protein p63,HGNC:15979,KRT5,keratin 5,HGNC:6442,NGFR,nerve growth factor receptor,HGNC:7809,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Trachea,Trachea,UBERON:0003126,tracheal epithelium,epithelium of trachea,UBERON:0001901,,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,goblet,goblet cell of epithelium of trachea,CL:1000329,,,,,MUC5AC,"mucin 5AC, oligomeric mucus/gel-forming",HGNC:7515,SPDEF,SAM pointed domain containing ETS transcription factor,HGNC:17257,MUC5B,"mucin 5B, oligomeric mucus/gel-forming",HGNC:7516,TFF2,trefoil factor 2,HGNC:11756,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Trachea,Trachea,UBERON:0003126,tracheal epithelium,epithelium of trachea,UBERON:0001901,,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,brush,brush cell of epithelium of trachea,CL:1000388,,"Ualiyeva S, et al. Airway brush cells generate cysteinyl leukotrienes through the ATP sensor P2Y2. Sci Immunol 2020; 5.",,,POU2F3,POU class 2 homeobox 3,HGNC:19864,ASCL2,achaete-scute family bHLH transcription factor 2,HGNC:739,TRPM5,transient receptor potential cation channel subfamily M member 5,HGNC:14323,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Trachea,Trachea,UBERON:0003126,tracheal epithelium,epithelium of trachea,UBERON:0001901,,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,tracheobronchial ciliated cell,ciliated columnar cell of tracheobronchial tree,CL:0002145,,,,,FOXJ1,forkhead box J1,HGNC:3816,DYNLRB2,dynein light chain roadblock-type 2,HGNC:15467,TUBB4B,tubulin beta 4B class IVb,HGNC:20771,RSPH1,radial spoke head component 1,HGNC:12371,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Trachea,Trachea,UBERON:0003126,tracheal epithelium,epithelium of trachea,UBERON:0001901,,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,neuroendocrine cells,dense-core granule cell of epithelium of trachea,CL:1000377,,,,,ASCL1,achaete-scute family bHLH transcription factor 1,HGNC:738,GRP,gastrin releasing peptide,HGNC:4605,CALCA,calcitonin related polypeptide alpha,HGNC:1437,CHGA,chromogranin A,HGNC:1929,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Trachea,Trachea,UBERON:0003126,tracheal epithelium,epithelium of trachea,UBERON:0001901,,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,serous,serous cell of epithelium of trachea,CL:1000330,,"Hegab et al., 2012; Lee and Foskett, 2010",,,PIGR,polymeric immunoglobulin receptor,HGNC:8968,SLPI,,,CFTR,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Trachea,Trachea,UBERON:0003126,tracheal smooth muscle,smooth muscle of trachea,UBERON:0003387,,,,,,,,,,,,,,,,mesenchymal,mesenchymal,CL:0008019,smooth muscle cell of trachea,smooth muscle cell of trachea,CL:0002600,,,,,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,LGR6,leucine rich repeat containing G protein-coupled receptor 6,HGNC:19719,MYH11,myosin heavy chain 11,HGNC:7569,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Trachea,Trachea,UBERON:0003126,tracheal submucosal gland,trachea gland,UBERON:0005203,terminal ciliated ducts of tracheal submucosal gland,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,submucosal gland ciliated duct cells,ciliated cells of terminal ciliated ducts of tracheal submucosal glands,LMHA:00142,,,,,FOXJ1,forkhead box J1,HGNC:3816,TUBA1A,tubulin alpha 1a,HGNC:20766,DYNLRB2,dynein light chain roadblock-type 2,HGNC:15467,TUBB4B,tubulin beta 4B class IVb,HGNC:20771,RSPH1,radial spoke head component 1,HGNC:12371,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Trachea,Trachea,UBERON:0003126,tracheal submucosal gland,trachea gland,UBERON:0005203,terminal ciliated ducts of tracheal submucosal gland,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,submucosal gland basal cells,basal cells of terminal ciliated ducts of tracheal submucosal glands,LMHA:00087,,"Goldfarbmuren et al., 2020",,,TP63,tumor protein p63,HGNC:15979,KRT5,keratin 5,HGNC:6442,FOXC1,forkhead box C1,HGNC:3800,KRT14,keratin 14,HGNC:6416,CTNNB1,catenin beta 1,HGNCL2514,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Trachea,Trachea,UBERON:0003126,tracheal submucosal gland,trachea gland,UBERON:0005203,terminal ciliated ducts of tracheal submucosal gland,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,submucosal gland secretory,secretory cells of terminal ciliated ducts of tracheal submucosal glands,LMHA:00143,,,,,MUC5AC,"mucin 5AC, oligomeric mucus/gel-forming",HGNC:7515,SPDEF,SAM pointed domain containing ETS transcription factor,HGNC:17257,MUC5B,"mucin 5B, oligomeric mucus/gel-forming",HGNC:7516,TFF2,trefoil factor 2,HGNC:11756,,,,,,,,,,,,,,,,
