"Anatomical Strucures, Cell Types and Biomarkers Table for Vasculature v1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Griffin Weber; Sujin Lee; Rajeev Malhotra; Marc Halushka; Avinash Boppana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-2597-881X; 0000-0002-6692-6880; 0000-0003-0120-4630; 0000-0002-7112-7389; 0000-0003-0834-8274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"Netter FH. Atlas of human anatomy. Philadelphia, PA: Saunders/Elsevier. 2006.; Gray H. Gray's Anatomy: The Anatomical Basis of Clinical Practice (40th ed.). Churchill-Livingstone, Elsevier. 2008.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,10.48539/HBM426.GZPN.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,3/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,AS/8,AS/8/LABEL,AS/8/ID,AS/9,AS/9/LABEL,AS/9/ID,AS/10,AS/10/LABEL,AS/10/ID,AS/11,AS/11/LABEL,AS/11/ID,AS/12,AS/12/LABEL,AS/12/ID,AS/13,AS/13/LABEL,AS/13/ID,AS/14,AS/14/LABEL,AS/14/ID,AS/15,AS/15/LABEL,AS/15/ID,AS/16,AS/16/LABEL,AS/16/ID,AS/17,AS/17/LABEL,AS/17/ID,AS/18,AS/18/LABEL,AS/18/ID,AS/19,AS/19/LABEL,AS/19/ID,CT/1,CT/1/LABEL,CT/1/ID,BG/1,BG/1/LABEL,BG/1/ID,FTU,REF/1,REF/1/DOI,REF/1/NOTES
vasculature,vasculature,UBERON:0002049,left atrium,left cardiac atrium,UBERON:0002079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cardiac endothelial cell,cardiac endothelial cell,CL:0010008,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Heart,,
vasculature,vasculature,UBERON:0002049,left atrium,left cardiac atrium,UBERON:0002079,left inferior pulmonary vein,Left inferior pulmonary vein,fma49913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Pulmonary_vein,,
vasculature,vasculature,UBERON:0002049,left atrium,left cardiac atrium,UBERON:0002079,left superior pulmonary vein,Left superior pulmonary vein,fma49916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Pulmonary_vein,,
vasculature,vasculature,UBERON:0002049,left atrium,left cardiac atrium,UBERON:0002079,right inferior pulmonary vein,Right inferior pulmonary vein,fma49911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Pulmonary_vein,,
vasculature,vasculature,UBERON:0002049,left atrium,left cardiac atrium,UBERON:0002079,right superior pulmonary vein,Right superior pulmonary vein,fma49914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Pulmonary_vein,,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cardiac endothelial cell,cardiac endothelial cell,CL:0010008,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Heart,,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Aorta,,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Ascending_aorta,,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Aortic_arch,,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,brachiocephalic artery,brachiocephalic artery,UBERON:0001529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Brachiocephalic_artery,,
