,CD79a,FOXP3,CDX2,CD8,p53,GATA3,CD21,PD-L1,Ki67,CD45,CD30,PAX5,HLA-DR,CD5,CD2,CD45RA,CD4,PD-1,MUC-1,BCL2,CD56,Cytokeratin7,CD25,VISTA,Hep-Par-1,CD11c,IRF4,CD20,EGFR,IDO-1,GranzymeB,MelanA,OX-40,Vimentin,Synaptophysin,CD117(c-kit),Na-K-ATPase,CD194,CD57,Pan-Cytokeratin,CD68,CD3,SMA,CD34,EpCAM,CollagenIV,CD45RO,Podoplanin,CD15,CD7,CD163,ChromograninA,CD31,CD123,MMP9,CD138,CD38,Hyaluronan
0,361.6984,299.18625,135.89069,33.8583,267.96558,60.629555,15.135628,89.95344,999.66394,64.99798,139.78947,665.6842,38.22267,159.73886,111.93725,68.84615,104.94129,152.08098,12.350203,54.572876,79.42105,10.732794,259.21255,125.79757,15.661943,50.23077,123.271255,9.700405,141.16599,59.192307,8.382591,197.02834,771.53033,21.84008,14.291498,86.751015,32.412956,129.92712,62.147774,7.582996,100.49393,86.87247,8.799595,33.548584,263.42914,36.402836,586.7632,27.512146,239.88866,280.53036,56.60931,5.0748987,13.639676,1506.8481,35.665993,22.22672,333.69434,2093.9473
1,114.03933,1445.279,237.10861,424.84082,349.48502,72.11049,3.1872659,43.40637,94.0824,3.3164794,80.96816,703.3071,1.1573033,190.62547,58.26779,18.432585,122.61985,220.00562,0.0,0.10861423,110.22846,0.0,692.6611,505.14606,14.734082,13.172285,113.98315,0.0,93.61236,36.067417,766.7584,539.9213,1270.8033,198.21536,0.20037453,146.12547,0.043071162,46.779026,74.475655,0.0,141.08801,521.85583,0.8651685,4.679775,480.5674,1.8426967,494.5618,13.73221,5564.017,758.382,110.044945,0.0,1.7808989,3574.5356,2.7940075,0.6254682,874.48505,635.294
2,53.76753,157.13875,124.62509,42.540222,262.87897,47.680443,5.8494463,30.899632,1283.056,47.039116,147.79631,396.14908,17.783764,149.74243,55.12546,16.372694,84.32103,129.32178,0.896679,10.492989,66.1262,1.4391143,92.75941,212.11809,20.349815,30.814022,75.41033,6.7904058,121.47749,51.163837,10.740959,220.2583,1164.3904,683.5756,7.7431736,149.81772,16.214022,71.157936,90.865685,1.5682657,501.10184,126.10775,3.699631,22.431734,781.60297,24.078966,4211.7446,18.89594,427.9476,770.5247,130.2487,2.200738,1.2516605,3534.245,21.331366,19.773432,682.3026,1481.031
3,76.1898,722.51495,137.24014,534.1095,616.5728,54.47279,2.679592,54.377552,45.661224,18.157824,160.42722,426.40204,12.378231,197.71156,66.96531,51.660545,164.94081,145.98096,0.104761906,12.366667,93.21156,0.2170068,500.6,270.19525,15.769388,49.409523,69.81156,7.9809523,173.86734,61.987076,742.70746,441.9068,1206.3081,633.3619,3.2965987,175.36462,9.021089,467.3585,99.81361,0.55306125,208.1687,421.81836,1.1442177,11.906122,446.7102,12.347619,1157.8143,25.255783,4978.538,1074.6061,82.74762,1.1115646,6.329252,3055.0266,28.863266,14.12381,538.21564,969.5748
4,252.24966,440.2974,155.57436,221.6371,303.65756,52.065483,3.770805,38.457027,78.56344,35.49113,69.93588,484.06958,9.502047,66.613914,49.754433,85.48977,250.8322,104.06685,0.83901775,9.267394,100.94134,0.4010914,387.62482,498.71213,521.10913,20.343792,124.97681,3.8321965,55.31105,67.35744,183.36972,330.91132,1389.0314,910.9195,1.994543,198.5989,7.260573,337.6712,105.79263,1.9563438,435.2483,296.76535,3.324693,3.0381992,443.2865,8.368349,1331.8036,18.210096,4158.8896,887.8581,183.82811,0.19236016,1.7053206,3843.764,64.42974,4.8703957,950.63165,1028.6603
5,348.47934,401.1343,176.59505,434.29132,502.68802,71.50207,0.55991733,38.35124,111.068184,19.570248,68.295456,666.6095,0.39256197,110.71694,67.27273,51.369835,531.7438,161.92975,0.0,3.6859505,134.29959,0.14256199,828.469,580.75415,3.7210743,1.9380165,157.51447,0.0,99.61364,80.96075,717.16736,552.64874,1846.1199,534.3719,0.0,251.20248,0.0,1038.0083,129.65909,0.0,99.79339,555.188,0.0,1.9483471,742.2273,0.0,2573.814,14.092976,5300.5845,1265.6777,126.421486,0.0,0.13636364,5351.628,175.52893,0.0,1140.7769,696.9752
6,139.3356,473.01364,136.96082,374.3356,451.26065,45.797276,7.894378,106.6644,521.891,33.16695,309.4174,482.74277,14.553662,415.62863,79.49233,21.686543,208.569,125.683136,0.0,13.115843,99.41737,0.0,708.8177,297.01364,14.282794,56.088585,67.39523,0.5417377,388.92505,67.15503,302.10052,583.2896,1524.3561,48.83816,1.6064736,200.03067,9.822828,219.25894,150.49574,0.0,351.8552,341.7615,1.306644,16.55196,821.96594,15.62862,1519.9387,32.816013,4429.835,1355.925,249.64735,0.2350937,4.189097,4211.182,22.056217,7.8040886,790.06305,877.6303
7,75.37016,111.6105,136.49033,423.45166,271.73065,40.541435,6.153315,32.269337,17.06768,69.024864,180.10635,283.8743,18.302486,206.7942,48.47652,29.933702,93.94475,68.006905,0.04281768,4.8674035,42.462708,1.2292818,55.903316,110.28591,45.128452,26.266575,57.893646,4.569061,195.25829,51.015194,358.4558,237.76796,924.46826,895.6671,2.5676796,122.58011,16.255526,237.02625,67.76934,0.06629834,174.72238,125.75967,6.596685,23.936464,305.27625,24.76105,910.7293,19.350828,3690.8066,616.76794,124.53453,21.495857,5.5,2194.7432,72.81906,15.491713,230.64641,697.8425
8,150.87476,219.35934,124.17438,169.36223,482.47208,36.062622,9.429672,91.17534,109.94605,183.4422,218.22832,386.5761,31.010597,300.31406,66.72543,120.611755,342.4297,86.67245,0.114643544,27.640656,73.35164,0.2061657,523.53467,316.368,21.44316,97.93256,151.9894,6.138728,239.25626,91.609825,113.890175,296.47977,860.1098,31.245665,2.2129095,128.74277,22.678226,269.06262,106.74374,0.00096339115,561.78033,159.20038,1.0703275,22.845858,345.68497,34.145473,1619.9663,28.769749,1403.3661,745.0703,1586.1359,0.7909441,10.93738,2525.2217,24.541426,19.165703,1185.6339,932.54816
9,108.18401,365.81705,148.2345,85.70452,462.56573,53.995792,5.5299683,75.33754,271.25974,16.97897,119.252365,790.12195,7.7497373,129.39221,61.205048,19.564669,107.38906,213.88434,1.1146162,43.4143,148.10725,0.659306,535.6046,465.11356,32.74553,37.246056,211.82649,1.8874868,140.03996,89.74974,8.783386,508.75183,1661.9874,1482.1893,7.212408,324.52155,7.7970557,170.6898,140.60779,0.9905363,267.1262,260.50473,246.13565,1278.327,652.6404,63.6898,1776.9832,31.401682,165.43112,627.26605,173.60463,0.9537329,9.524711,2945.7917,12.768664,9.052576,803.3291,1257.49
