,HGNC ID,Approved symbol,Approved name,Ensembl gene ID,UCSC gene ID
0,HGNC:5,A1BG,alpha-1-B glycoprotein,ENSG00000121410,uc002qsd.5
1,HGNC:37133,A1BG-AS1,A1BG antisense RNA 1,ENSG00000268895,uc002qse.3
2,HGNC:24086,A1CF,APOBEC1 complementation factor,ENSG00000148584,uc057tgv.1
3,HGNC:7,A2M,alpha-2-macroglobulin,ENSG00000175899,uc001qvk.2
4,HGNC:27057,A2M-AS1,A2M antisense RNA 1,ENSG00000245105,uc009zgj.2
5,HGNC:23336,A2ML1,alpha-2-macroglobulin like 1,ENSG00000166535,uc001quz.6
6,HGNC:41022,A2ML1-AS1,A2ML1 antisense RNA 1,ENSG00000256661,uc058kxy.1
7,HGNC:41523,A2ML1-AS2,A2ML1 antisense RNA 2,ENSG00000256904,uc058kyb.1
8,HGNC:8,A2MP1,alpha-2-macroglobulin pseudogene 1,ENSG00000256069,
9,HGNC:30005,A3GALT2,"alpha 1,3-galactosyltransferase 2",ENSG00000184389,uc031plq.1
10,HGNC:18149,A4GALT,"alpha 1,4-galactosyltransferase (P blood group)",ENSG00000128274,uc062ewl.1
11,HGNC:17968,A4GNT,"alpha-1,4-N-acetylglucosaminyltransferase",ENSG00000118017,uc003ers.2
12,HGNC:1,A12M1,adenovirus-12 chromosome modification site 1C,,
13,HGNC:2,A12M2,adenovirus-12 chromosome modification site 1A,,
14,HGNC:3,A12M3,adenovirus-12 chromosome modification site 1B,,
15,HGNC:4,A12M4,adenovirus-12 chromosome modification site 17,,
16,HGNC:13666,AAAS,aladin WD repeat nucleoporin,ENSG00000094914,uc001scr.5
17,HGNC:12,AABT,"amino acid transport, beta",,
18,HGNC:21298,AACS,acetoacetyl-CoA synthetase,ENSG00000081760,uc001uhc.4
19,HGNC:18226,AACSP1,acetoacetyl-CoA synthetase pseudogene 1,ENSG00000250420,
20,HGNC:17,AADAC,arylacetamide deacetylase,ENSG00000114771,uc003eze.4
21,HGNC:24427,AADACL2,arylacetamide deacetylase like 2,ENSG00000197953,uc003ezc.4
22,HGNC:50301,AADACL2-AS1,AADACL2 antisense RNA 1,ENSG00000242908,
23,HGNC:32037,AADACL3,arylacetamide deacetylase like 3,ENSG00000188984,uc057ckc.1
24,HGNC:32038,AADACL4,arylacetamide deacetylase like 4,ENSG00000204518,uc001auf.3
25,HGNC:50305,AADACP1,arylacetamide deacetylase pseudogene 1,ENSG00000240602,
26,HGNC:17929,AADAT,aminoadipate aminotransferase,ENSG00000109576,uc032udw.1
27,HGNC:25662,AAGAB,alpha and gamma adaptin binding protein,ENSG00000103591,uc002aqk.6
28,HGNC:19679,AAK1,AP2 associated kinase 1,ENSG00000115977,uc002sfp.3
29,HGNC:30205,AAMDC,adipogenesis associated Mth938 domain containing,ENSG00000087884,uc058fuq.1
30,HGNC:18,AAMP,angio associated migratory cell protein,ENSG00000127837,uc002vhk.4
31,HGNC:19,AANAT,aralkylamine N-acetyltransferase,ENSG00000129673,uc002jro.4
32,HGNC:15886,AAR2,AAR2 splicing factor,ENSG00000131043,uc002xfc.4
33,HGNC:33842,AARD,alanine and arginine rich domain containing protein,ENSG00000205002,uc003yof.4
34,HGNC:20,AARS1,alanyl-tRNA synthetase 1,ENSG00000090861,uc002eyn.2
35,HGNC:49894,AARS1P1,alanyl-tRNA synthetase 1 pseudogene 1,ENSG00000249038,
36,HGNC:21022,AARS2,"alanyl-tRNA synthetase 2, mitochondrial",ENSG00000124608,uc010jza.2
37,HGNC:28417,AARSD1,alanyl-tRNA synthetase domain containing 1,ENSG00000266967,uc031raq.2
38,HGNC:54994,AARSD1P1,AARSD1 pseudogene 1,ENSG00000234969,
39,HGNC:23993,AASDH,aminoadipate-semialdehyde dehydrogenase,ENSG00000157426,uc003hbn.5
40,HGNC:14235,AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,ENSG00000149313,uc001pjc.2
41,HGNC:17366,AASS,aminoadipate-semialdehyde synthase,ENSG00000008311,uc003vkb.4
42,HGNC:51526,AATBC,apoptosis associated transcript in bladder cancer,ENSG00000215458,
43,HGNC:19235,AATF,apoptosis antagonizing transcription factor,ENSG00000275700,uc002hni.3
44,HGNC:21,AATK,apoptosis associated tyrosine kinase,ENSG00000181409,uc010dia.4
45,HGNC:22,AAVS1,adeno-associated virus integration site 1,,
46,HGNC:49667,ABALON,apoptotic BCL2L1-antisense long non-coding RNA,ENSG00000281376,
47,HGNC:23,ABAT,4-aminobutyrate aminotransferase,ENSG00000183044,uc002czc.5
48,HGNC:29,ABCA1,ATP binding cassette subfamily A member 1,ENSG00000165029,uc004bcl.4
49,HGNC:32,ABCA2,ATP binding cassette subfamily A member 2,ENSG00000107331,uc064xhf.1
50,HGNC:33,ABCA3,ATP binding cassette subfamily A member 3,ENSG00000167972,uc002cpy.2
51,HGNC:34,ABCA4,ATP binding cassette subfamily A member 4,ENSG00000198691,uc001dqh.4
52,HGNC:35,ABCA5,ATP binding cassette subfamily A member 5,ENSG00000154265,uc002jig.3
53,HGNC:36,ABCA6,ATP binding cassette subfamily A member 6,ENSG00000154262,uc002jhw.2
54,HGNC:37,ABCA7,ATP binding cassette subfamily A member 7,ENSG00000064687,uc002lqw.5
55,HGNC:38,ABCA8,ATP binding cassette subfamily A member 8,ENSG00000141338,uc002jhq.5
56,HGNC:39,ABCA9,ATP binding cassette subfamily A member 9,ENSG00000154258,uc002jhu.4
57,HGNC:39983,ABCA9-AS1,ABCA9 antisense RNA 1,ENSG00000231749,uc060jgk.1
58,HGNC:30,ABCA10,ATP binding cassette subfamily A member 10,ENSG00000154263,uc010dfa.2
